Date, DailyTotal
10/01/2013,11475.625
10/02/2013,16856
10/03/2013,13905.125
10/04/2013,11180
10/05/2013,8347.375
10/06/2013,9567.5
10/07/2013,13029
10/08/2013,6568.25
10/09/2013,5165.375
10/10/2013,3434.625
10/11/2013,10363
10/12/2013,193.5
10/13/2013,1419
10/14/2013,5482.5
10/15/2013,5907.125
10/16/2013,8325.875
10/17/2013,13582.625
10/18/2013,12265.75
10/19/2013,12088.375
10/20/2013,4703.125
10/21/2013,9594.375
10/22/2013,8325.875
10/23/2013,2547.75
10/24/2013,112.875
